Shvejan,Hyderabad,SNIST,9573749395,shvejan2011@gmail.com
mohammed,sreenidhi,hyderabad,8979879898,MOHAMMED@gmail.com
madhu,nit,warangal,8798789797,MADHU@gmail.com
raju,AMRITA,Bengaluru,9534635536,raju@gmail.com
saiku,cvr,kolkata,8798797987,saiku@gmail.com
anilam,gitam,Chennai,9757575646,anilam@gmail.com
yolyo,mjit,kerala,7868767668,yolyo@gmail.com
jones,oscae,delhi,8778979879,jones@gmail.com
jughead,IIT,delhi,6787678676,jughead@gmail.com
lucifer,CBIT,vellor,9787686899,lucifer@gmail.com
peter parker,VBIT,bhopal,6576578767,peter parker@gmail.com
james,MVSR,chattisghar,9214314324,james@gmail.com
bruce,KU,hyderabad,8234565543,bruce @gmail.com
ramu,JNTU,delhi,8643346677,ramu@gmail.com
enrique,SRM,tirvnantapuram,7676678768,enrique@gmail.com
eminem,VIT,Amaravati,9765465643,eminem@gmail.com
elon musk,MANIPAL,kerala,9534727100,elon musk@gmail.com
